"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
2,7,4,3,2,6,3,4,8,4
0,1,3,1,3,2,0,5,4,7
3,1,2,4,3,5,1,6,5,4
2,4,3,3,3,4,2,4,7,4
10,9,7,17,7,15,7,8,28,17
2,8,4,6,7,9,5,13,12,10
4,2,1,3,1,2,2,4,8,4
4,2,4,4,1,4,1,4,11,5
4,5,1,5,4,7,5,8,11,10
2,3,2,4,3,1,0,5,8,6
3,12,1,6,7,4,7,9,10,13
11,21,10,15,15,17,10,27,32,44
2,6,3,4,3,4,2,7,7,8
6,7,4,7,6,4,2,6,8,14
6,7,3,8,4,5,1,6,13,18
2,5,2,2,2,4,2,6,6,5
1,3,1,4,3,1,1,3,4,4
11,9,12,17,7,14,6,7,31,15
1,3,3,3,2,4,1,3,5,3
4,8,5,7,6,5,6,9,9,10
8,6,9,6,9,8,5,8,19,18
4,4,3,6,1,4,1,1,7,6
4,4,1,2,5,1,3,4,3,9
4,3,1,6,1,4,0,9,8,11
3,4,3,4,1,5,1,2,6,4
1,4,2,1,2,2,3,2,6,2
0,2,0,0,2,1,0,2,2,2
10,8,9,13,3,11,1,7,20,10
5,4,2,5,2,6,6,5,9,6
0,2,1,1,3,3,1,2,4,3
3,5,2,5,4,3,1,3,9,6
5,2,3,5,6,4,1,2,7,12
5,8,5,5,9,7,4,10,10,13
2,5,2,4,7,4,6,3,7,11
8,12,6,15,9,11,8,18,19,26
4,6,2,1,3,2,1,4,10,6
1,2,1,2,2,3,1,4,5,4
1,2,1,2,1,4,0,2,7,5
0,3,1,0,2,2,3,3,2,5
1,6,1,5,3,2,4,3,6,9
1,4,2,2,0,2,1,3,2,5
3,2,1,4,2,4,6,1,7,2
2,7,3,6,6,4,3,7,6,12
0,3,1,2,4,1,3,5,3,7
6,4,5,13,4,16,7,3,19,8
5,4,3,5,0,4,0,2,6,0
2,3,1,5,4,2,2,4,9,5
1,1,1,0,1,0,0,2,4,4
2,2,2,2,3,1,1,2,5,3
1,1,1,2,1,3,0,1,4,6
3,4,1,2,2,5,4,4,6,2
6,7,2,7,5,5,4,4,9,7
1,6,1,7,4,6,2,9,5,11
1,6,1,4,4,3,3,5,5,8
11,8,7,10,5,7,6,5,16,13
1,5,1,3,4,4,6,5,7,7
3,2,3,5,1,2,2,1,5,2
2,4,1,3,5,2,3,6,3,9
5,6,5,5,5,4,5,5,8,8
5,9,7,10,6,8,4,9,12,10
1,1,0,1,0,1,1,1,5,2
8,8,6,9,6,7,6,6,11,12
2,3,3,2,2,4,1,3,5,5
0,2,0,3,0,2,0,2,2,3
3,3,3,9,4,9,3,3,13,6
1,6,1,2,5,2,2,3,6,5
2,4,1,2,3,4,3,5,6,4
4,12,5,5,8,7,8,10,16,14
2,5,3,5,6,6,2,6,5,12
2,4,1,3,1,8,3,5,10,6
0,4,0,0,2,2,0,4,3,5
15,13,12,18,6,14,7,10,39,17
1,4,4,5,2,3,2,2,10,7
0,3,2,0,3,1,2,3,3,4
4,5,3,5,5,3,4,6,8,13
4,13,4,10,12,8,8,15,15,22
4,0,4,7,0,4,1,3,6,1
1,6,1,1,6,2,2,5,2,15
3,9,2,6,7,5,4,5,14,15
0,2,0,4,2,4,2,2,4,5
2,10,2,6,2,5,2,13,12,16
4,6,4,4,4,4,2,10,8,7
0,3,1,3,3,4,0,5,5,4
21,22,15,27,18,20,9,29,36,40
3,4,2,2,4,4,4,4,3,4
2,4,2,2,6,1,2,4,4,10
4,10,3,6,9,4,7,5,9,15
20,10,14,22,11,16,10,13,32,17
1,3,2,1,2,2,2,2,6,5
3,5,3,4,4,5,6,6,11,6
5,5,0,5,3,5,2,4,11,9
3,1,2,5,2,6,1,7,10,5
3,3,1,3,2,2,1,4,5,4
3,9,7,7,7,3,2,10,11,11
0,5,1,1,3,1,1,6,4,8
2,5,1,6,2,1,2,2,5,3
6,9,3,9,10,5,3,10,13,14
4,5,1,4,4,3,2,3,7,9
12,8,11,14,6,15,7,16,23,25
1,0,1,2,0,3,1,2,7,4
0,0,0,3,0,2,2,3,4,3
0,6,0,3,4,1,2,4,2,7
1,4,1,1,2,2,0,3,5,6
4,4,4,5,3,8,2,3,7,8
3,3,3,5,0,5,0,0,6,2
0,4,1,0,2,1,0,6,3,6
9,18,7,23,15,17,16,26,29,37
1,5,3,1,2,3,2,3,5,5
2,3,1,3,3,2,4,3,7,5
2,7,1,3,7,2,4,8,6,13
3,7,3,3,4,3,3,4,7,7
2,4,2,3,1,2,1,4,5,6
7,6,7,11,5,8,6,9,19,20
0,5,0,1,4,5,3,3,6,10
2,3,0,4,1,5,0,2,9,6
1,3,1,2,3,5,2,4,5,5
4,5,5,7,3,4,5,5,8,6
4,1,3,0,1,6,0,2,8,3
1,3,1,5,1,6,2,4,6,4
2,4,1,4,3,3,1,1,5,6
16,18,17,21,14,11,9,22,42,35
1,2,0,1,0,2,0,0,2,1
5,7,3,6,7,4,3,8,12,10
3,7,4,3,2,2,2,3,6,7
3,3,2,3,3,3,3,7,5,7
2,9,0,7,6,6,3,9,14,15
3,4,3,4,3,5,4,6,5,6
8,8,4,12,4,17,6,13,19,18
3,5,3,2,5,3,6,4,7,9
3,6,4,4,6,2,5,5,4,8
0,5,1,1,2,0,2,2,2,3
2,7,1,10,4,8,6,8,13,10
0,6,2,2,6,5,2,9,4,12
4,4,2,5,2,4,3,3,8,9
2,8,2,4,4,4,5,4,6,4
2,11,1,5,8,4,6,12,8,22
2,3,1,5,5,4,3,5,6,6
5,4,4,11,2,4,2,9,13,9
4,5,3,4,2,11,3,4,12,5
1,4,1,1,4,1,1,8,4,7
9,8,6,6,10,10,8,15,16,17
1,3,2,4,3,1,1,5,3,4
6,9,8,11,7,11,5,8,13,13
1,2,2,2,2,3,0,2,4,6
2,5,2,6,3,4,2,4,7,6
2,2,3,4,2,3,1,3,5,3
3,2,2,6,0,3,3,1,7,4
1,3,1,3,1,4,1,3,4,4
1,1,2,2,1,3,1,3,4,4
1,3,1,1,1,1,2,2,5,2
2,3,1,4,2,1,1,2,5,5
8,9,3,8,8,8,4,9,14,15
4,3,1,5,2,3,1,3,5,4
6,10,5,10,8,10,10,4,17,13
2,6,1,4,4,4,2,3,5,6
0,3,0,0,4,2,1,3,0,6
3,7,2,5,5,2,3,3,6,4
1,4,1,2,1,1,2,2,3,3
4,6,3,7,6,7,1,7,10,9
2,2,3,3,1,3,1,1,5,2
1,3,1,2,3,5,3,7,3,7
5,7,6,11,4,5,6,7,19,12
2,0,0,4,1,1,0,2,4,6
6,10,6,7,7,4,8,11,16,17
5,9,5,7,6,7,4,8,11,11
1,7,0,2,7,4,1,5,4,12
0,5,2,2,2,1,0,4,5,4
0,2,0,1,0,1,0,3,4,3
1,3,1,0,1,1,1,4,4,6
0,3,0,1,2,2,1,4,4,5
1,4,1,3,3,2,4,4,5,9
4,4,5,4,5,5,2,6,8,7
8,13,6,8,7,9,8,5,15,14
4,8,3,6,6,7,6,6,13,11
4,6,4,5,6,6,5,6,11,9
6,10,6,13,6,13,5,14,24,13
2,6,3,5,4,6,2,5,11,7
4,6,4,5,9,7,5,8,10,10
6,12,3,9,9,7,4,10,11,14
15,12,13,17,12,18,6,16,25,20
0,7,1,7,4,5,6,4,7,14
0,3,0,0,1,1,1,1,3,1
5,9,2,6,8,7,5,12,11,18
0,0,0,0,0,1,0,1,2,3
1,4,2,1,3,3,6,3,5,7
7,13,7,16,14,12,10,15,21,27
1,4,0,2,1,2,3,5,3,6
6,6,3,6,6,3,5,6,11,8
1,4,1,2,6,5,2,3,3,8
4,8,2,7,3,5,3,5,12,9
6,19,2,13,20,8,9,20,17,41
10,11,11,17,9,14,5,14,24,30
4,10,2,7,4,6,6,7,9,18
0,3,0,2,4,2,0,8,1,12
3,6,1,4,4,1,3,4,6,8
3,2,1,4,6,6,0,7,9,9
12,18,8,19,20,12,10,23,26,36
1,2,2,1,1,3,3,2,4,2
5,2,4,3,2,1,3,4,7,3
6,8,6,13,4,11,6,6,15,10
2,7,2,4,6,2,4,8,5,16
6,8,5,10,7,9,6,12,17,22
3,2,5,7,4,4,3,10,12,15
4,12,6,9,12,9,6,13,11,22
0,2,0,1,3,1,0,4,5,5
2,8,3,3,5,4,5,5,9,9
2,3,3,3,2,3,1,3,5,6
11,9,7,15,2,12,8,11,18,15
2,15,2,6,15,5,4,14,9,21
3,3,2,3,1,2,0,5,3,7
6,22,10,14,11,17,10,14,24,32
1,9,0,2,9,5,5,6,3,10
5,17,8,8,11,9,11,13,20,19
21,16,11,27,15,20,10,28,44,53
2,2,0,6,1,4,2,1,6,2
1,4,1,3,1,6,1,6,9,6
13,5,7,11,3,10,3,4,22,8
2,3,1,1,2,2,3,2,4,3
4,8,4,6,5,4,1,7,8,9
3,7,2,4,5,2,4,4,6,9
3,11,3,5,6,3,3,8,10,14
5,9,3,11,4,9,1,10,9,10
2,14,5,10,11,9,5,13,14,22
2,3,2,3,1,3,2,2,7,4
2,7,3,3,5,4,3,7,9,16
8,8,3,12,5,11,3,5,15,7
4,4,2,7,2,8,1,3,14,6
1,3,2,2,2,2,2,4,4,3
0,2,0,1,4,0,0,6,0,5
4,7,2,8,4,7,2,7,10,9
1,2,1,3,1,5,0,2,8,2
4,5,1,5,3,4,4,3,12,8
4,5,4,5,3,5,4,3,12,5
4,6,4,9,7,10,7,8,16,12
2,8,1,5,5,5,4,5,10,10
1,8,1,1,3,2,4,4,4,11
1,3,1,2,2,2,2,5,2,8
4,5,5,5,3,9,1,4,10,8
2,6,1,2,3,1,2,4,5,4
1,4,0,3,1,4,1,1,3,3
3,7,1,4,6,3,5,4,4,9
5,6,3,6,3,3,6,2,15,10
4,10,2,8,9,7,7,9,14,16
1,7,1,2,4,2,2,8,4,10
12,15,9,14,14,12,10,22,21,28
3,7,2,6,1,4,4,3,10,3
4,11,4,7,6,8,9,10,17,16
2,2,1,2,2,4,0,3,5,5
16,13,8,20,10,27,8,12,37,21
51,29,34,52,37,41,28,55,81,86
7,7,9,8,7,11,4,12,17,13
12,9,11,19,2,9,7,7,28,13
2,5,1,3,1,5,3,4,7,7
4,3,1,7,4,9,4,7,7,9
6,14,6,11,12,10,12,18,16,29
2,3,3,2,2,4,2,3,3,6
14,13,8,21,8,12,7,14,30,29
6,12,5,9,9,15,7,9,18,15
2,4,2,5,2,5,1,2,6,3
6,8,6,6,6,11,5,10,21,18
3,6,2,7,3,5,4,5,11,13
2,4,0,5,2,3,2,2,6,5
1,2,0,2,0,3,1,0,5,4
7,3,6,8,3,10,2,5,9,7
8,9,5,7,8,8,7,8,12,18
1,2,1,1,3,3,2,4,1,7
8,10,6,12,10,12,5,10,18,20
7,10,6,10,5,10,7,9,16,12
3,7,3,3,9,5,5,5,7,19
1,2,1,2,1,4,0,3,6,2
5,11,3,6,7,3,4,13,8,23
2,7,0,3,3,5,2,4,7,8
1,5,2,3,2,2,1,2,3,3
2,3,1,2,1,4,1,3,4,4
14,13,11,16,10,17,8,20,31,32
1,5,2,1,2,0,1,5,1,3
5,10,4,6,12,6,6,12,6,14
6,7,2,3,2,5,2,6,13,13
14,8,9,17,5,13,6,7,28,15
22,34,15,21,35,25,20,38,50,60
9,8,7,10,6,13,5,9,19,9
4,7,2,5,3,4,1,5,7,6
1,6,2,2,7,1,4,5,4,11
4,5,4,7,3,10,1,5,11,3
3,8,2,7,10,4,3,11,8,14
2,4,0,4,4,2,0,2,7,10
4,5,7,8,3,11,1,4,14,7
5,7,6,7,7,7,5,10,11,18
4,9,3,3,8,2,8,10,6,18
1,1,0,1,0,2,0,2,4,6
5,7,6,11,8,7,2,17,15,25
2,2,2,4,0,4,1,3,8,6
4,8,4,4,7,6,4,4,11,11
5,7,2,10,7,9,4,6,16,13
2,2,2,2,3,2,2,3,3,6
9,5,3,9,3,11,3,6,14,9
3,8,2,5,5,8,3,5,10,10
11,37,9,22,42,21,28,50,34,87
6,7,5,7,6,11,4,7,13,11
2,2,1,2,3,2,2,1,2,3
1,7,2,0,4,4,3,4,4,11
1,7,1,3,3,4,2,4,6,12
4,7,2,4,4,6,3,8,9,10
3,7,4,6,4,7,4,9,10,12
1,7,1,2,4,2,3,3,3,14
5,6,4,9,5,7,2,7,12,13
3,7,3,5,4,4,3,2,7,8
1,4,1,2,1,4,3,3,5,2
10,21,6,9,15,10,8,14,19,32
5,3,2,7,2,5,3,2,10,4
5,7,5,7,4,5,2,4,8,6
0,3,1,7,3,5,2,5,7,9
5,9,5,11,10,9,8,13,14,16
1,3,1,2,1,4,2,1,4,3
3,6,6,8,4,9,5,3,11,10
6,9,1,7,13,10,4,14,10,25
10,7,2,8,5,6,4,7,13,11
6,17,5,11,13,6,10,17,16,29
2,5,2,2,4,0,1,8,2,11
5,7,3,8,2,5,3,5,13,6
2,8,5,6,10,6,3,11,8,15
2,10,1,6,8,5,6,9,9,16
2,7,1,1,6,5,4,8,6,10
1,2,1,2,4,2,2,7,5,6
3,5,0,3,3,3,2,5,5,7
4,4,3,4,2,4,1,5,6,4
4,3,4,7,3,6,2,5,10,10
2,2,3,2,2,2,0,4,3,5
9,9,6,13,4,7,5,8,17,12
2,3,2,2,3,4,1,5,3,8
1,4,2,3,6,1,2,7,8,16
2,7,1,4,6,3,3,6,6,11
6,15,7,8,14,8,13,15,21,30
2,2,2,3,3,7,1,1,7,5
1,2,1,1,6,3,1,7,2,8
8,13,10,11,12,10,6,9,24,24
5,7,3,6,5,6,2,8,9,9
2,7,1,8,7,3,7,8,10,16
4,4,2,3,3,5,2,3,4,6
2,3,3,5,2,8,3,3,9,5
3,4,4,3,4,7,3,5,10,6
2,4,0,3,3,5,3,3,6,5
2,4,3,1,1,2,1,3,3,5
1,8,4,4,4,2,3,5,9,7
2,7,3,3,6,6,7,7,8,9
11,9,9,10,6,12,8,12,20,12
5,23,4,9,15,11,9,24,16,40
0,7,0,2,4,0,2,3,5,9
0,3,0,0,3,3,1,3,4,5
9,10,4,8,6,9,5,13,14,21
1,5,2,3,2,2,0,4,3,5
8,5,4,10,3,10,4,7,14,10
1,10,1,4,8,5,5,9,3,14
11,18,3,15,10,13,6,11,22,16
6,12,5,8,5,4,3,8,12,7
3,6,2,3,3,2,5,5,6,8
5,12,8,7,9,6,3,10,12,17
4,6,3,6,3,2,3,3,7,8
2,2,4,2,2,4,1,3,10,5
1,5,3,7,2,6,4,3,9,7
1,4,0,2,1,3,2,3,4,4
3,6,2,8,2,9,3,3,13,5
2,3,1,2,0,1,0,3,2,3
7,11,6,11,4,9,5,6,19,12
4,3,5,5,4,7,1,3,7,9
4,3,5,6,3,5,4,7,10,12
3,7,4,7,3,5,2,5,8,9
4,11,5,4,6,10,4,8,11,17
6,7,3,9,3,6,5,9,19,16
6,13,5,12,10,11,9,13,20,24
7,11,5,10,14,11,10,16,14,31
1,3,2,3,0,4,3,9,5,4
0,3,0,3,1,1,0,2,5,1
0,2,1,1,1,1,2,1,1,4
2,7,4,3,5,3,3,9,3,9
0,6,0,2,3,2,4,5,6,6
9,10,3,9,7,7,5,2,14,11
1,2,0,4,2,4,2,4,6,7
1,6,3,2,6,2,4,4,5,8
3,4,3,3,3,6,4,4,6,9
3,8,2,2,6,4,3,11,5,15
1,3,2,3,3,7,3,2,10,7
1,4,1,2,3,4,4,6,6,13
5,8,5,7,6,7,3,10,13,11
14,19,16,23,12,19,12,22,41,41
5,8,3,8,9,6,6,12,12,23
3,8,3,6,4,5,5,10,13,11
7,6,4,7,5,6,4,8,10,9
6,7,4,6,5,7,6,6,13,9
4,4,5,5,3,6,3,4,8,7
1,3,1,2,3,5,1,3,5,5
2,3,1,5,3,1,2,4,4,6
20,11,6,10,9,10,10,10,26,18
5,7,6,7,3,4,4,4,8,4
6,5,6,8,3,7,4,6,17,8
5,8,3,6,10,6,6,7,16,13
1,5,4,1,3,1,0,6,8,9
7,7,4,9,7,6,4,6,11,13
2,4,2,4,1,3,2,8,5,5
4,4,1,4,1,3,4,1,10,4
2,5,0,7,2,5,2,7,9,8
2,9,6,4,7,6,3,10,15,13
7,3,5,9,1,7,2,3,12,4
0,1,0,2,1,0,2,2,1,5
1,3,1,4,4,2,3,3,3,6
5,8,5,8,6,9,6,5,13,14
7,14,6,10,8,12,12,14,25,25
3,5,4,4,5,9,5,6,12,10
2,5,4,3,5,6,2,5,6,8
0,2,1,0,2,1,1,2,5,4
2,4,1,4,3,6,6,2,9,5
7,3,4,11,2,8,4,7,14,9
13,11,7,10,12,12,8,15,21,22
5,10,3,9,5,5,8,7,12,10
2,7,4,3,4,5,0,8,6,10
1,6,1,2,5,5,2,5,2,6
3,3,3,5,5,3,3,2,6,8
4,6,3,6,5,5,4,9,12,12
7,8,8,7,7,5,6,8,10,12
3,5,1,4,2,5,3,6,8,9
6,1,2,7,1,6,3,3,12,2
1,6,0,2,3,0,1,1,3,6
3,5,3,6,5,5,2,8,6,9
4,4,2,4,2,6,3,4,7,6
3,3,4,8,7,8,5,10,13,17
0,4,0,1,3,1,2,5,1,7
3,3,3,8,2,6,2,7,7,6
1,6,0,1,2,3,0,2,6,2
4,5,4,11,2,8,7,4,12,4
2,6,4,8,2,8,2,8,16,8
1,5,4,2,2,1,3,3,5,6
3,5,4,4,4,4,7,5,11,8
4,13,4,9,13,5,6,12,7,15
1,3,2,1,3,3,1,4,3,4
6,4,0,8,2,3,5,8,9,11
8,16,7,11,12,9,9,10,21,24
1,6,0,3,2,6,2,4,5,3
2,7,3,8,5,5,6,4,11,6
1,1,1,2,0,1,1,1,6,2
2,4,4,4,4,3,2,5,10,9
2,5,3,4,4,4,3,8,4,9
1,4,2,0,1,0,1,2,1,4
1,3,0,3,6,2,4,4,4,11
3,3,0,5,5,2,4,6,7,10
5,3,4,4,2,5,2,8,8,8
2,10,3,6,6,3,2,8,8,9
5,11,1,7,8,5,6,8,13,19
7,7,2,9,3,3,3,5,10,9
22,25,21,31,21,28,16,38,48,60
0,4,0,0,1,1,1,2,0,4
4,6,3,6,2,8,6,3,13,10
4,5,3,4,6,5,2,5,9,9
10,9,6,12,3,8,3,3,16,6
0,6,1,3,3,4,2,2,6,6
12,10,7,17,8,17,5,16,31,22
0,3,2,3,1,1,1,2,6,3
3,3,4,6,4,3,1,5,5,7
0,10,3,2,9,3,6,9,9,13
0,2,1,1,1,2,1,4,3,6
15,14,13,14,10,19,10,17,31,28
4,7,3,6,4,7,4,8,9,12
0,5,1,1,6,1,2,3,3,7
6,13,3,8,10,10,10,18,13,26
4,1,3,6,1,3,1,2,10,3
3,3,1,4,2,4,1,0,7,6
3,5,1,6,5,4,4,7,6,8
2,2,1,4,2,5,1,6,6,6
6,3,7,8,0,7,2,1,12,4
0,1,0,2,0,2,1,0,2,2
5,8,4,5,3,6,5,3,9,4
4,4,4,3,3,6,4,5,9,7
2,10,4,5,5,3,5,13,9,19
4,4,3,4,1,4,2,5,8,6
1,4,1,1,2,4,4,1,4,6
0,2,0,2,1,7,1,2,10,4
2,1,2,2,0,3,0,2,3,4
1,6,0,4,4,3,3,5,12,9
0,3,1,0,2,2,0,2,4,3
0,2,0,2,2,1,1,5,3,7
4,4,3,4,4,4,4,2,5,6
3,11,4,4,14,5,7,14,9,22
0,2,0,0,2,2,1,1,2,4
2,3,2,4,1,4,1,6,6,5
6,4,6,7,2,7,7,4,12,6
1,3,0,2,2,4,2,6,4,7
2,4,0,0,1,1,0,3,5,6
6,15,4,10,10,16,9,15,17,19
2,5,1,2,2,7,1,12,9,11
2,5,1,4,4,6,2,5,6,6
0,5,1,3,8,1,3,6,2,11
7,6,2,6,3,8,4,4,13,7
2,6,4,5,5,4,5,6,6,8
11,15,4,11,10,8,9,10,23,31
3,10,2,2,7,5,4,8,6,14
3,10,5,9,9,5,4,10,10,14
3,8,2,7,6,6,5,8,13,8
3,6,4,3,5,3,6,4,6,11
8,11,6,11,10,8,10,13,13,26
2,5,1,4,1,3,4,2,7,4
3,6,3,5,0,3,2,7,6,8
4,7,2,8,3,4,4,2,12,5
11,15,7,20,7,20,9,14,31,23
3,2,2,5,3,3,1,5,5,7
0,4,0,1,4,4,3,4,1,7
2,6,1,4,3,7,4,5,11,7
3,6,1,4,3,3,3,4,6,4
6,7,4,5,7,7,5,13,15,16
3,2,0,1,0,3,2,4,6,4
5,8,7,8,10,9,6,13,15,16
2,2,2,5,0,3,1,1,7,6
0,2,0,2,2,2,1,2,7,3
0,2,0,2,0,1,1,2,2,1
1,5,1,5,5,6,2,8,7,9
0,4,0,1,1,1,1,2,1,2
5,1,3,4,1,3,0,1,6,2
8,10,3,9,5,4,2,7,12,11
3,9,3,12,6,10,6,10,14,20
2,4,2,3,5,5,4,5,7,7
6,4,5,6,3,4,3,2,8,6
8,8,4,9,5,6,5,6,13,9
3,0,2,4,2,4,1,2,5,5
6,14,5,13,10,8,6,16,15,19
6,19,3,9,14,13,10,17,22,24
1,7,4,4,4,5,4,4,11,7
7,15,5,11,10,9,7,15,24,26
2,3,2,7,0,1,2,1,8,6
6,5,5,6,3,2,5,3,9,7
3,8,2,4,6,5,1,7,4,9
3,8,3,9,3,5,3,5,9,6
1,3,1,1,2,1,3,4,3,9
2,3,1,2,1,3,2,4,8,5
7,7,6,8,6,8,4,7,11,14
2,3,3,4,4,2,1,5,5,5
2,3,2,3,1,2,2,4,4,6
8,8,6,9,9,12,7,11,20,19
1,4,1,1,4,3,3,6,5,5
2,8,1,3,6,2,5,7,5,8
0,4,0,0,4,1,1,3,6,6
4,11,5,8,10,6,8,14,10,23
8,12,4,6,9,8,9,5,12,14
2,7,1,7,6,4,2,6,6,19
2,1,1,3,1,1,0,3,6,3
1,4,0,2,2,3,0,2,3,4
5,5,6,4,2,7,6,2,13,8
8,9,7,7,7,8,8,14,16,18
5,5,7,6,5,5,2,5,9,8
3,3,2,3,6,1,3,5,5,7
9,6,5,10,3,5,4,7,13,13
0,2,0,0,4,1,2,5,2,9
5,9,2,6,8,7,6,6,17,13
3,5,4,4,3,6,2,5,7,9
3,6,2,4,4,6,2,7,11,13
15,17,8,11,13,11,10,12,25,29
1,3,3,2,3,4,2,4,8,7
2,5,4,7,5,4,4,6,7,6
10,14,4,14,6,10,6,12,23,23
3,6,1,1,3,2,3,4,9,4
1,4,1,4,3,3,0,2,6,4
2,4,1,4,1,4,1,5,5,9
3,7,2,2,3,6,3,5,7,8
0,4,0,1,6,2,0,10,2,11
17,21,10,22,16,28,13,27,48,47
4,7,3,3,4,8,3,4,9,10
0,2,0,2,4,3,1,2,6,4
5,10,5,9,5,8,3,9,15,13
3,4,1,6,3,4,4,4,7,4
3,8,3,5,7,3,5,9,7,10
6,7,4,9,8,11,5,9,10,10
11,17,6,13,13,18,6,16,24,26
3,9,3,5,2,5,3,6,10,9
22,21,10,26,16,21,17,26,40,47
6,17,4,16,15,15,10,12,21,33
2,3,4,4,2,4,0,6,6,10
3,8,4,5,5,3,2,11,7,15
4,10,5,4,7,5,5,11,12,13
5,10,3,8,8,8,6,8,16,17
3,5,2,4,4,3,3,10,6,12
2,7,1,3,4,2,3,3,8,10
11,23,7,20,22,21,11,26,28,41
1,10,3,2,9,8,6,8,10,20
7,3,3,9,1,6,2,3,11,5
6,12,7,8,9,9,6,10,8,14
3,4,0,4,2,5,1,6,8,6
0,10,2,3,9,4,4,9,7,17
3,5,2,5,3,3,2,4,7,6
3,10,3,6,7,6,6,9,9,14
0,4,1,2,2,3,1,3,5,6
4,10,3,2,9,6,6,9,9,10
10,16,6,16,15,14,10,17,26,40
1,5,1,3,2,4,3,4,8,4
1,3,0,1,2,1,2,1,3,5
9,12,8,19,6,15,4,9,22,15
2,4,2,3,3,6,1,7,10,8
0,6,0,1,2,3,1,3,5,5
5,12,0,8,7,13,3,14,22,16
0,1,0,2,0,1,2,2,1,0
1,5,1,1,4,2,2,3,4,10
2,6,3,3,2,3,1,5,5,5
1,7,1,3,3,2,2,4,8,8
1,11,3,5,7,3,5,9,11,15
8,7,4,5,6,5,4,4,9,14
4,6,5,5,5,5,2,6,14,15
1,4,2,4,1,3,3,5,6,3
7,10,7,10,12,9,7,11,13,28
4,3,3,8,6,9,4,9,14,16
5,4,3,6,3,9,5,7,11,7
1,4,3,2,2,4,4,2,5,3
3,7,3,3,2,2,2,3,5,5
15,14,16,22,15,22,12,18,39,36
3,8,5,4,7,4,7,3,9,8
7,12,5,6,8,5,7,13,13,19
14,20,8,16,18,13,12,25,30,35
